t_sl_Fa," y_sl_Fa"," t_sl_Fp"," y_sl_Fp"," t_sl_Fnu"," y_sl_Fnu"," t_dl_Fa"," y_dl_Fa"," t_dl_Fp"," y_dl_Fp"," t_dl_Fnu"," y_dl_Fnu"
1.6171237040566524," -1.002395609279477","3.924453280318092"," -4.1846232564279235","4.0304550406539095"," -2.1144673272768006","1.6109047878373453"," -1.0599157282076765","3.864131949567983"," -1.4433080808080816","3.990762540792636"," -2.0289417730148918"
1.6462382728422855," -0.8372614144484629","4.084583408639076"," -4.176835357695589","4.1904199160044895"," -2.11177929154959","1.6399274433611901"," -0.8893802432974236","4.0239207777941735"," -1.4430480938200065","4.150387146173783"," -2.039890065406821"
1.6777790556933883," -0.6651761784243346","4.244713536960059"," -4.176015578881659","4.350384791355069"," -2.106403220095168","1.6616944350040739"," -0.7427488776395474","4.183709606020363"," -1.442788106831932","4.310011751554931"," -2.044797920616997"
1.6899101260207354," -0.5486992719451214","4.404843665281042"," -4.176015578881659","4.510349666705649"," -2.098723118017423","1.6762057627659965"," -0.6401360730439765","4.343498434246553"," -1.442788106831932","4.469636356936078"," -2.044042865969277"
1.7044674104135522," -0.44199139633190665","4.564973793602025"," -4.176015578881659","4.670314542056229"," -2.091043015939678","1.6979727544088803"," -0.5243079830080666","4.503287262472743"," -1.4409681979154092","4.629260962317225"," -2.043665338645418"
1.719024694806369," -0.3390408402825371","4.725103921923008"," -4.176015578881659","4.830279417406808"," -2.0837469189658204","1.7052284182898414"," -0.42791413626677244","4.663076090698933"," -1.43706839309429","4.788885567698374"," -2.0489507211794526"
1.7335819791991858," -0.23533882032039877","4.885234050243992"," -4.176015578881659","4.990244292757388"," -2.077218832199738","1.719739746051764"," -0.32530133167120123","4.822864918925123"," -1.43706839309429","4.948510173079521"," -2.061409122866821"
1.7481392635920021," -0.12938240861995287","5.0453641785649745"," -4.176015578881659","5.150209168107968"," -2.0722267658492033","1.7342510738136863"," -0.22035641788027616","4.982653747151312"," -1.436028445141992","5.108134778460668"," -2.070847305963312"
1.7408606213955937," -0.07302261516226904","5.205494306885958"," -4.182573809393099","5.310174043458547"," -2.0668506943947813","1.748762401575609"," -0.11541150408935108","5.142442575377503"," -1.4313486793566481","5.267759383841817"," -2.0753776338496284"
1.7796800464431048," 0.057732105659557886","5.365624435206941"," -4.185033145834889","5.470138918809127"," -2.059170592317037","1.7632737293375316"," -0.008134481103072133","5.302231403603693"," -1.4313486793566481","5.427383989222964"," -2.0689596693440135"
1.791811116770452," 0.1681973008366182","5.525754563527925"," -4.190361708125433","5.630103794159707"," -2.051490490239291","1.7850407209804153"," 0.12557311276388416","5.462020231829882"," -1.4313486793566481","5.587008594604111"," -2.06291923216226"
1.8039421870977996," 0.2741537125370641","5.685884691848908"," -4.194050712788118","5.790068669510286"," -2.0388183218110116","1.7995520487423375"," 0.2530617487765636","5.621809060056072"," -1.4313486793566481","5.746633199985258"," -2.0568787949805056"
1.8354829699489024," 0.41618039205042756","5.8460148201698905"," -4.2006089432995575","5.950033544860866"," -2.0280661789021694","1.8285747042661828"," 0.4025499481987481","5.7815978882822625"," -1.4313486793566481","5.9062578053664065"," -2.05197093977033"
1.8645975387345355," 0.5458079170031006","6.006144948490874"," -4.204707837369207","6.109998420211446"," -2.0249941380710714","1.8527602505360532"," 0.5220316759740457","5.941386716508452"," -1.4313486793566481","6.0658824107475535"," -2.045552975264716"
1.8937121075201686," 0.6611576276131604","6.166275076811857"," -4.212085846694577","6.269963295562025"," -2.0326742401488165","1.8866200153138726"," 0.6557392698410021","6.101175544734642"," -1.4313486793566481","6.2255070161287005"," -2.039890065406821"
2.0028917404662936," 0.7391049298376663","6.326405205132841"," -4.212085846694577","6.429928170912605"," -2.0388183218110116","1.9881993096473303"," 0.7737581291210323","6.2609643729608315"," -1.4313486793566481","6.385131621509849"," -2.0346046828727857"
2.1120713734124186," 0.611936741326783","6.486535333453824"," -4.217824298392086","6.589893046263185"," -2.0388183218110116","2.089778603980788"," 0.6479655725231557","6.420753201187022"," -1.4313486793566481","6.544756226890996"," -2.027054136395593"
2.14846458439446," 0.48907239158903204","6.646665461774807"," -4.221103413647806","6.749857921613764"," -2.03075421462938","2.1333125872665555"," 0.5189221970469071","6.580542029413212"," -1.4313486793566481","6.704380832272143"," -2.018371007946822"
2.1921364375729104," 0.3544100584208061","6.80679559009579"," -4.221103413647806","6.909822796964344"," -2.024610132967184","2.1695909066713615"," 0.3929883004977971","6.740330857639401"," -1.4336885622493196","6.864005437653292"," -2.007045188231033"
